;ICC;F;df1;df2;pval;CI95%;Description;Stage;Group;Bands;Components
157;0.94506;18.201621;17;51;0.0;[0.89 0.98];Average fixed raters;Preprocessed data;CTR;beta2;F4
158;0.965865;29.295519;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta3;F4
159;0.916866;12.028702;17;51;0.0;[0.83 0.97];Average fixed raters;Preprocessed data;CTR;gamma;F4
160;0.926936;13.686692;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;delta;F5
161;0.973087;37.157114;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;F5
162;0.937454;15.988305;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;F5
163;0.938322;16.213252;17;51;0.0;[0.87 0.97];Average fixed raters;Preprocessed data;CTR;alpha-2;F5
164;0.97394;38.372695;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta1;F5
165;0.942515;17.39578;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;beta2;F5
166;0.97664;42.808329;17;51;0.0;[0.95 0.99];Average fixed raters;Preprocessed data;CTR;beta3;F5
167;0.943869;17.815525;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;gamma;F5
168;0.888458;8.965234;17;51;0.0;[0.77 0.95];Average fixed raters;Preprocessed data;CTR;delta;F6
169;0.97262;36.522504;17;51;0.0;[0.94 0.99];Average fixed raters;Preprocessed data;CTR;theta;F6
170;0.928828;14.050457;17;51;0.0;[0.85 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;F6
171;0.913836;11.605799;17;51;0.0;[0.82 0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;F6
172;0.965355;28.864461;17;51;0.0;[0.93 0.99];Average fixed raters;Preprocessed data;CTR;beta1;F6
173;0.897437;9.750102;17;51;0.0;[0.79 0.96];Average fixed raters;Preprocessed data;CTR;beta2;F6
174;0.942891;17.510227;17;51;0.0;[0.88 0.98];Average fixed raters;Preprocessed data;CTR;beta3;F6
175;0.889482;9.048264;17;51;0.0;[0.77 0.95];Average fixed raters;Preprocessed data;CTR;gamma;F6
176;0.874828;7.989006;17;51;0.0;[0.74 0.95];Average fixed raters;Preprocessed data;CTR;delta;F7
177;0.97848;46.468507;17;51;0.0;[0.96 0.99];Average fixed raters;Preprocessed data;CTR;theta;F7
178;0.920772;12.62183;17;51;0.0;[0.84 0.97];Average fixed raters;Preprocessed data;CTR;alpha-1;F7
179;0.90443;10.463539;17;51;0.0;[0.8  0.96];Average fixed raters;Preprocessed data;CTR;alpha-2;F7
180;0.951075;20.439517;17;51;0.0;[0.9  0.98];Average fixed raters;Preprocessed data;CTR;beta1;F7
